title:test0826, start timestamp:1629975491.659043, stop timestamp:1629975591.327375, headset type:INSIGHT, headset serial:A2D2052F, headset firmware:932, channels:43, sampling rate:eeg_128;mot_64;mc_8, samples:12523     , version:2.1, 
Timestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.T7,EEG.Pz,EEG.T8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.T7,CQ.Pz,CQ.T8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.T7,EQ.Pz,EQ.T8,EQ.AF4,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ,MC.Action,MC.ActionPower,MC.IsActive
1629975491.853105,104.000000,0.000000,4237.436035,4236.922852,4161.025879,4189.743652,4209.743652,450.000000,1.000000,15.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,52.000000,0.000000,0.191716,-0.233643,0.690674,0.656982,0.594736,-0.817884,0.019043,-58.199009,-60.326252,46.998425,,,
1629975491.860819,105.000000,0.000000,4195.897461,4240.512695,4176.410156,4194.871582,4167.692383,450.000000,1.000000,15.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,
1629975491.868634,106.000000,0.000000,4246.666504,4246.666504,4169.230957,4188.717773,4216.922852,450.000000,1.000000,15.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,53.000000,0.000000,0.191716,-0.233643,0.690674,0.656982,0.611337,-0.813977,0.027344,-59.736397,-60.095718,46.904366,,,
1629975491.876348,107.000000,0.000000,4247.179688,4251.794922,4175.384766,4187.692383,4215.897461,16214.000000,1.000000,15.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,1.000000,41.666668,1.000000,4.000000,4.000000,4.000000,0.000000,,,,,,,,,,,,,1.000000,0.000000,0.000000
1629975491.884162,108.000000,0.000000,4202.563965,4250.256348,4180.000000,4192.820313,4153.846191,450.000000,1.000000,15.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,54.000000,0.000000,0.191716,-0.233643,0.690674,0.656982,0.616709,-0.821302,0.034180,-61.060234,-60.187313,46.879528,,,
1629975491.891877,109.000000,0.000000,4235.384766,4242.563965,4175.384766,4182.051270,4215.384766,450.000000,1.000000,15.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,
1629975491.899691,110.000000,0.000000,4276.410156,4239.487305,4167.179688,4172.820313,4280.512695,450.000000,1.000000,15.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,55.000000,0.000000,0.191418,-0.233887,0.690674,0.656982,0.611337,-0.823255,0.020996,-58.961838,-60.209934,46.677727,,,
1629975491.907406,111.000000,0.000000,4225.128418,4235.897461,4154.358887,4173.846191,4171.282227,16214.000000,1.000000,15.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,
1629975491.915220,112.000000,0.000000,4214.358887,4235.384766,4158.974121,4173.846191,4161.538574,450.000000,1.000000,15.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,56.000000,0.000000,0.191418,-0.233887,0.690674,0.656982,0.593271,-0.827161,0.016602,-60.482761,-60.230293,46.795181,,,
1629975491.922935,113.000000,0.000000,4312.307617,4247.179688,4157.948730,4173.846191,4313.846191,450.000000,1.000000,15.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,
1629975491.930749,114.000000,0.000000,4331.282227,4251.282227,4152.307617,4168.717773,4299.487305,450.000000,1.000000,15.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,57.000000,0.000000,0.191418,-0.233887,0.690674,0.656982,0.610849,-0.818372,0.025879,-58.501930,-60.188801,46.721447,,,
1629975491.938463,115.000000,0.000000,4207.692383,4238.974121,4156.410156,4168.205078,4164.102539,16214.000000,1.000000,15.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,
1629975491.946277,116.000000,0.000000,4152.820313,4241.025879,4165.641113,4182.563965,4156.922852,450.000000,1.000000,15.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,58.000000,0.000000,0.190535,-0.233887,0.690918,0.656982,0.596689,-0.829602,0.027344,-56.659367,-60.211273,46.714901,,,
1629975491.953991,117.000000,0.000000,4236.922852,4254.358887,4183.077148,4179.487305,4216.410156,450.000000,1.000000,15.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,
1629975491.961706,118.000000,0.000000,4328.717773,4248.717773,4177.948730,4156.922852,4268.205078,450.000000,1.000000,15.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,59.000000,0.000000,0.190834,-0.233643,0.690918,0.656982,0.609873,-0.828138,0.019532,-55.060875,-60.111866,46.709011,,,
1629975491.969520,119.000000,0.000000,4301.025879,4238.461426,4176.922852,4160.000000,4259.487305,16214.000000,1.000000,15.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,
